	object	description	subject	label
0	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd11909377@	Busto a tuttutondo, cavo, realizzato fino alle spalle. I capelli sono modellati in ciocche pesanti e spioventi sulla fronte. I tratti del volto sono molto realistici tipici del ritratto ellenistico.	coroplastica	coherent
1	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd11340790@	Argilla refrattaria, ingobbio bianco. ||. Ariete stante; ha lungo muso indistinto, indicato il vello dell'animale. Piena tra la zampe	Ariete, coroplastica italiota	coherent
2	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd11330185@	Pendaglio a tre globetti che conserva ancora parte della catenella a doppi anelli.	OGGETTI D'ORNAMENTO	coherent
5	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd11330047@	Agglomerato in cui si riconoscono un frammento di ferro e di un anellino in verghetta di bronzo di sezione circolare	BRONZO / FERRO	incoherent
21	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd11331296@	Ciotola a corpo troncoconico, orlo rientrante su medio piede.	CERAMICA DEPURATA	incoherent
24	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd11334327@	Fondo pertinente a recipiente non meglio classificabile con iscrizione graffita sulla superficie esterna.	Ceramica di impasto	incoherent
43	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd9927682@	Il frammento di cornice presenta in alto una fascia liscia a cui fanno seguito: una gola dritta, un gradino ed una serie di dentelli. Questi, di forma quadrata e piuttosto distanziati, hanno spazio di separazione rettangolare e sono uniti da una barretta ritratta. Al di sotto appaiono un gradino ed una gola rovescia. Su uno dei lati lunghi la cornice si piega ad angolo interrompendo la fila di dentelli.	EDILIZIA/ ELEMENTI ARCHITETTONICI / ELEMENTI STRUTTURALI	coherent
46	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd9975389@	Lingotto di forma parallelepipeda. Sul lato corto compare in rilievo mezza figura di leonessa (la parte inferiore), che si completano con il lingotto gemello (RA nà 00104142); su uno dei lati maggiori è inoltre presente un’iscrizione in lettere greche (ΘPIE), forse un numerale relativo al peso.	STRUMENTI, UTENSILI E OGGETTI D’USO/FUSIONE E FORGIATURA	coherent
47	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd9978254@	Olla ovoidale a colletto distinto inclinato all'esterno, labbro assottigliato. Fondo convesso indistinto. Due anse verticali contrapposte a due piccole prese. Quattro fori passanti sul collo.	STRUMENTI, UTENSILI E OGGETTI D’USO/CONTENITORI E RECIPIENTI	coherent
48	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd9975527@	lucerna a tazzina	STRUMENTI, UTENSILI E OGGETTI D’USO/ILLUMINAZIONE	coherent
153	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd11095181@	proiettile di forma sferoidale	Armi	coherent
154	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd11095488@	catillus con pareti interne a doppio tronco di cono poco profondo.	Utensili	coherent
155	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd11100076@	peso di forma troncopiramidale con foro passante sotto la base superiore;scheggiato lungo un lato.	UTENSILI	coherent
156	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd11100496@	peso da telaio di forma troncopiramidale con foro passante ai 3/4 dell'altezza; ingobbio giallo-crema.	Utensili	coherent
157	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd11100231@	peso di forma troncopiramidale con foro passante sotto la base superiore.	UTENSILI	coherent
158	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd11100054@	peso di forma troncopiramidale con foro passante sotto la base superiore;scheggiato su un lato e consunto.	utensili	coherent
159	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd11100323@	peso di forma troncopiramidale con foro passante sotto la base superiore;consunto lungo un lato.	Utensili	coherent
160	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd11100538@	"meridiana di tipo ""semi-sferico"" con individuazione di 4 ""linee orarie""."	arredi domestici	coherent
161	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd11100335@	peso di forma troncopiramidale con foro passante sotto la base superiore.	utensili	coherent
162	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd11104630@	peso di forma troncopiramidale con foro passante sotto la base superiore.	UTENSILI	coherent
163	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd11104582@	peso di forma troncopiramidale con foro passante sotto la base superiore.	utensili	coherent
164	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd11104850@	peso di forma troncopiramidale con foro passante sotto la base superiore;scheggiato ad un angolo superiore.	Utensili	coherent
165	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd11104556@	peso di forma troncopiramidale con foro passante sotto la base superiore.	utensili	coherent
166	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd11104568@	peso di forma troncopiramidale con foro passante sotto la base superiore.	Utensili	coherent
167	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd11094794@	frammento di cornice modanata in marmo bianco.	elementi architettonici	coherent
185	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd11874079@	bottiglia in ceramica ingobbiata; stretto collo con collarino; orlo sagomato; spalla espansa; manca la vetrina; ingobbio opaco al manganese steso all'esterno solo sulla parte superiore	STRUMENTI, UTENSILI E OGGETTI D’USO/ CONTENITORI E RECIPIENTI/ CERAMICA	coherent
186	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd11874174@	boccale in ceramica invetriata da cucina; bocca trilobata; ansa a nastro; spalla spiovente decorata ad ingobbio (foglie stilizzate); fondo esterno risparmiato	STRUMENTI, UTENSILI E OGGETTI D’USO/ CONTENITORI E RECIPIENTI/ CERAMICA	coherent
187	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd11874241@	catino in ceramica invetriata da cucina; orlo con breve tesa concava; all'interno decorazione ad ingobbio (fiore e foglie stilizzate); esterno acromo	STRUMENTI, UTENSILI E OGGETTI D’USO/ CONTENITORI E RECIPIENTI/ CERAMICA	coherent
188	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd11874267@	treppiede distanziatore; decorazione in rilievo ottenuta a stampo (monogramma di San Bernardino composto dalle lettere IHS); argilla rosata, beige all'esterno	STRUMENTI, UTENSILI E OGGETTI D’USO/ LAVORAZIONE DELLA CERAMICA	coherent
190	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd11668720@	ascia a margini lievemente rialzati con angoli arrotondati e restringimento nella parte centrale; tagliente lievemente espanso a profilo convesso, tallone dritto e non distinto. I margini rialzati sono bassi e terminano nel punto in cui inizia la lama; vicino al tallone è presente un foro per sospensione	STRUMENTI, UTENSILI E OGGETTI D’USO/ FERRAMENTA	coherent
195	http://dati.culturaitalia.it/resource/oai-culturaitalia-it-museiditalia-work_88048	Il bronzetto rappresenta Giove ignudo, stante sulla gamba destra, con la sinistra appena flessa ed arretrata. Il braccio sinistro è sollevato in alto nel gesto di appoggio dello scettro. Dalla spalla sinistra pende, aderente al fianco, la clamide che giunge fino al ginocchio. Il braccio destro è piegato in avanti e con la mano tiene il fulmine in parte adagiato sull'avambraccio. La capigliatura è costituita da riccioli in forma di corona. I tratti del viso sono appena distinguibili. Ripete lo Zeus di Lisippo del sec IV a.C.	Giove	coherent
196	http://dati.culturaitalia.it/resource/oai-culturaitalia-it-museiditalia-work_88066	Bronzetto raffigurante un kouros a gambe unite, con i piedi distinti da una incisione, le braccia aderenti al corpo. I capezzoli sono asimmetrici e, come l'ombelico, sono indicati da una incisione a spirale. I capelli scendono fin sulle spalle e sulla fronte e sono ornati da una corona decorata con incisioni. Nel volto appuntito risaltano i grandi occhi a mandorla.	Kouros	coherent
200	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd11908839@	Ampio labbro svasato, collo a profilo concavo con collarino alla base, corpo ovoide, piede a disco, ansa bastoncello schiacciato decorata da due solcature verticali parallele. Decorazione incisa e dipinta in bruno: corpo interamente verniciato con metopa opposta all''ansa suddipinta in bianco campita con motivo a squame a doppio tratto su tre ordini e suddipinte alternativamente in paonazzo con punto centrale inciso, l''ordine inferiore è decorato con motivo a semicerchio inciso. Sulle rotelle, alla sommità dell''ansa, sul collo e ai vertici della metopa sono rosette puntinate in bianco; fascia suddipinta in bianca sull''orlo, in paonazzo e bianco nella parte inferiore del corpo; raggi presso il piede.	vasellame in ceramica/ ceramica etrusco-corinzia	incoherent
201	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd11116541@	Orlo verticale indistinto, con bordo assottigliato; parete convessa; attacco di ansa orizzontale a bastoncello, sotto l'orlo. Argilla fine, beige. Vernice nera, coprente, con una macchia grigia.	Ceramica a vernice nera	incoherent
202	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd11116549@	Lastra decorata a rilievo con motivo illeggibile, forse parte di elementofitomorfo. Retro lisciato. Impasto arancio, con frequenti inclusi medi, bruni e rossastri.	Coroplastica architettonica	incoherent
