Iconografia;Tema
arte astratta;arte_astratta
Religione e Magia;Religione_e_Magia
rappresentazioni (simboliche) ~ la creazione, cosmo, cosmogonia, universo e vita (in senso lato);Religione_e_Magia
religione cristiana;Religione_e_Magia
Divinità, Dio (in generale) ~ religione cristiana;Religione_e_Magia
Dio creatore;Religione_e_Magia
Dio misura l'Universo (con il compasso);Religione_e_Magia
Natura Divina;Religione_e_Magia
il divino, 'Divinità' (Ripa);Religione_e_Magia
simboli ~ Natura Divina;Religione_e_Magia
cerchio come simbolo della perfezione di Dio;Religione_e_Magia
perfezione di Dio;Religione_e_Magia
ira di Dio;Religione_e_Magia
'Flagello di Dio' (Ripa);Religione_e_Magia
"la Trinità, 'Trinitas coelestis'; Padre, Figlio e Spirito Santo ~ religione cristiana";Religione_e_Magia
la Trinità rappresentata da simboli tripartiti;Religione_e_Magia
simboli della Trinità ~ forme o combinazioni circolari e/o triangolari;Religione_e_Magia
tre cerchi concentrici ~ la Trinità;Religione_e_Magia
tre cerchi allacciati ~ la Trinità;Religione_e_Magia
triangolo (dentro il cerchio), con l'occhio o il tetragramma ~ la Trinità;Religione_e_Magia
tre animali, combinati geometricamente dentro il cerchio o il triangolo ~ la Trinità;Religione_e_Magia
tre uomini che corrono, disposti in forma circolare ~ la Trinità;Religione_e_Magia
la Trinità rappresentata sotto forma di persona con tre teste;Religione_e_Magia
'Tricephalus', tre teste o tre volti fusi insieme ~ la Trinità;Religione_e_Magia
la Trinità rappresentata da tre animali con unica testa;Religione_e_Magia
altri simboli tripartiti della Trinità;Religione_e_Magia
rappresentazione della Trinità in cui ciascuna Persona (Padre, Figlio e Spirito Santo) è rappresentata da un oggetto o da un animale;Religione_e_Magia
rappresentazione della Trinità: mano (Padre), agnello (Figlio) e colomba (Spirito Santo);Religione_e_Magia
rappresentazione della Trinità: mano (Padre), croce (Figlio) e colomba (Spirito Santo);Religione_e_Magia
rappresentazione della Trinità: mano (Padre), calice (Figlio) e colomba (Spirito Santo);Religione_e_Magia
rappresentazione della Trinità i cui una, due o tutte e tre le figure sono rappresentata in sembianze umane;Religione_e_Magia
la Trinità rappresentata come tre persone;Religione_e_Magia
la Trinità rappresentata come tre persone identiche;Religione_e_Magia
Dio Padre e lo Spirito Santo sostengono Cristo crocifisso ~ simbologia della Trinità;Religione_e_Magia
rappresentazione della Trinità nella quale Dio Padre e Cristo sono rappresentati come persone, lo Spirito Santo come colomba;Religione_e_Magia
rappresentazione della Trinità nella quale Dio Padre seduto tiene Cristo giovane (l'Emanuele) sulle ginocchia;Religione_e_Magia
rappresentazione della Trinità con Dio Padre e Cristo in trono;Religione_e_Magia
rappresentazione della Trinità in cui Dio Padre e Cristo figurano come persone identiche;Religione_e_Magia
rappresentazione della Trinità nella quale Cristo mostra le sue piaghe;Religione_e_Magia
rappresentazione della Trinità nella quale Dio Padre sostiene Cristo crocifisso o morto;Religione_e_Magia
rappresentazione della Trinità nella quale Dio Padre sostiene il crocifisso, 'Gnadenstuhl', Trono di Grazia;Religione_e_Magia
rappresentazione della Trinità nella quale Dio Padre, in piedi o seduto, sostiene il corpo di Cristo, 'Pitié-de-Notre-Seigneur', 'Not Gottes';Religione_e_Magia
altre rappresentazioni della Trinità;Religione_e_Magia
rappresentazione della Trinità nella quale Dio Padre è raffigurato come persona, Cristo come agnello, e lo Spirito Santo come colomba;Religione_e_Magia
rappresentazione della Trinità nella quale Dio Padre è raffigurato come persona, Cristo come leone, e lo Spirito Santo come colomba;Religione_e_Magia
rappresentazione della Trinità nella quale Dio Padre è raffigurato come forma simbolica, Cristo come persona, e lo Spirito Santo come colomba;Religione_e_Magia
"'Ratschluss der Erlosung', 'Prolog im Himmel; Divino decreto della redenzione";Religione_e_Magia
Divino decreto della redenzione, con figure allegoriche, p.es. Giustizia, Misericordia, Pace, Verità (la riconciliazione delle Virtù);Religione_e_Magia
l'invio di Gabriele ~ 'Ratschluss der Erlosung';Religione_e_Magia
il ritorno di Gabriele ~ 'Ratschluss der Erlosung';Religione_e_Magia
l'invio di Cristo ~ 'Ratschluss der Erlosung';Religione_e_Magia
il ritorno di Cristo ~ 'Ratschluss der Erlosung';Religione_e_Magia
rappresentazione della Trinità estesa ad altre figure;Religione_e_Magia
Quaternità, la Trinità con Maria Vergine;Religione_e_Magia
'Quinity', Quinità, la Trinità con la Madonna col Bambino);Religione_e_Magia
Dio Padre;Religione_e_Magia
simboli di Dio Padre;Religione_e_Magia
occhio que vede tutto, occhio iscritto in un triangolo ~ simbolo di Dio Padre;Religione_e_Magia
mano di Dio, 'Dextera Dei' ~ simbolo di Dio Padre;Religione_e_Magia
tetragramma (in caratteri romani o ebraici) ~ simbolo di Dio Padre;Religione_e_Magia
(colonna di) fuoco ~ simbolo di Dio Padre;Religione_e_Magia
(raggi di) luce ~ simbolo di Dio Padre;Religione_e_Magia
alpha e omega ~ simbolo di Dio Padre;Religione_e_Magia
Dio padre rappresentato come essere umano, generalmente con la corona o la tiara o lo scettro e/o il globo;Religione_e_Magia
Dio Padre rappresentato come uomo adulto o giovane (talvolta simile a Cristo);Religione_e_Magia
Dio Padre rappresentato in trono, generalmente con lo scettro e/o il globo;Religione_e_Magia
Dio Padre rappresentato come uomo adulto o giovane simile a Giove;Religione_e_Magia
Dio Padre rappresentato come uomo adulto o giovane simile a Giove, in trono, generalmente con lo scettro e/o il globo;Religione_e_Magia
Dio Padre rappresentato come vecchio barbato, generalmente con la corona o la tiara o lo scettro e/o il globo;Religione_e_Magia
Dio Padre (come vecchio barbato) raffigurato in trono, generalmente con la corona o la tiara e lo scettro e/o il globo;Religione_e_Magia
Cristo seduto alla destra di Dio;Religione_e_Magia
Dio incorona Cristo;Religione_e_Magia
Dio incorona simultaneamente Cristo e Maria Vergine;Religione_e_Magia
'Scala Salutis', Cristo e Maria Vergine intercedono presso Dio Padre;Religione_e_Magia
Cristo intercede presso Dio Padre;Religione_e_Magia
altre rappresentazioni ~ Dio Padre;Religione_e_Magia
Dio Padre fra il sole e la luna;Religione_e_Magia
Cristo;Religione_e_Magia
simboli e prefigurazioni di Cristo;Religione_e_Magia
lettere e monogrammi ~ simboli di Cristo;Religione_e_Magia
alpha e omega, a volte con il serto, il triangolo, gli strumenti della Passione, ecc. ~ simbolo di Cristo;Religione_e_Magia
Chrismon e forme derivate ~ simbolo di Cristo;Religione_e_Magia
IHS ('Iesus Hominum Salvator') ~ simbolo di Cristo;Religione_e_Magia
labaro, ovvero stendardo imperiale con il monogramma IHS;Religione_e_Magia
adorazione del nome di Gesù;Religione_e_Magia
'Ichthys' ~ simbolo di Cristo;Religione_e_Magia
la croce ~ simboli di Cristo;Religione_e_Magia
la croce come simbolo di Cristo;Religione_e_Magia
la croce con sopra il simbolo di Cristo, p.es. l'agnello;Religione_e_Magia
la croce con la testa o il busto di Cristo;Religione_e_Magia
specifiche forme di croce;Religione_e_Magia
specifiche forme di croce (col NOME);Religione_e_Magia
specifiche forme di croce: croce di sant'Andrea;Religione_e_Magia
specifiche forme di croce: croce ansata;Religione_e_Magia
specifiche forme di croce: croce benedettina;Religione_e_Magia
specifiche forme di croce: croce di Caravaca;Religione_e_Magia
specifiche forme di croce: croce a ipsilon;Religione_e_Magia
specifiche forme di croce: croce greca;Religione_e_Magia
specifiche forme di croce: croce di Lorena;Religione_e_Magia
specifiche forme di croce: svastica;Religione_e_Magia
specifiche forme di croce: croce a tau;Religione_e_Magia
adorazione della croce;Religione_e_Magia
altri simboli di Cristo;Religione_e_Magia
simboli di Cristo ~ animali;Religione_e_Magia
agnello (con la croce o il vessillo), 'Agnus Dei' ~ simbolo di Cristo;Religione_e_Magia
simboli di Cristo ~ piante;Religione_e_Magia
simboli di Cristo ~ oggetti;Religione_e_Magia
'Etimasia', il trono di Cristo, vuoto, con il libro della vita;Religione_e_Magia
pane e pesce ~ simboli di Cristo;Religione_e_Magia
prefigurazioni di Cristo, Cristo e le sue prefigurazioni;Religione_e_Magia
l'Incarnazione ~ Cristo;Religione_e_Magia
Gesù Bambino o giovane (in generale) ~ religione cristiana;Religione_e_Magia
Gesù Bambino (con attributi);Religione_e_Magia
Gesù Bambino ~ tipologie iconografiche del Cristo adulto;Religione_e_Magia
Gesù Bambino ~ Passione, 'Schmerzenskind';Religione_e_Magia
Gesù Bambino medita sugli strumenti della Passione;Religione_e_Magia
Gesù Bambino attorniato dagli strumenti della Passione;Religione_e_Magia
Gesù Bambino porta gli strumenti della Passione;Religione_e_Magia
Gesù Bambino mostra le cinque piaghe;Religione_e_Magia
Gesù Bambino cinto dalla corona di spine, o da ramoscelli spinosi;Religione_e_Magia
Gesu Bambino porta la croce;Religione_e_Magia
Gesù Bambino in ginocchio davanti alla croce;Religione_e_Magia
Gesù Bambino che dorme sulla croce;Religione_e_Magia
Gesù Bambino come simbolo eucaristico;Religione_e_Magia
Gesù Bambino nel calice o sul calice;Religione_e_Magia
'Melismos' ~ Gesù Bambino come simbolo eucaristico;Religione_e_Magia
Gesù Bambino nel mulino mistico;Religione_e_Magia
Gesù Bambino insieme ad altri personaggi;Religione_e_Magia
Cristo giovane;Religione_e_Magia
Cristo 'Emanuele';Religione_e_Magia
Cristo adulto;Religione_e_Magia
'ritratti' di Cristo;Religione_e_Magia
'Mandylion', ovvero il ritratto che si dice sia stato realizzato per il re Abgar di Edessa da Cristo stesso asciugandosi il volto sul velo;Religione_e_Magia
Cristo consegna il Mandylion al messaggero del re Abgar;Religione_e_Magia
il Mandylion è portato ad Edessa;Religione_e_Magia
'Vera Icon', 'Sudarium', velo della Veronica;Religione_e_Magia
'Vera Icon', sostenuta dalla Veronica;Religione_e_Magia
'Vera Icon', sostenuta dagli angeli;Religione_e_Magia
'Vera Icon' sostenuta da altri personaggi, p.es. San Pietro e San Paolo;Religione_e_Magia
'Vera Icona' sostenuta dai quattro simboli degli evangelisti;Religione_e_Magia
il 'ritratto' di Cristo secondo l'epistola di Lentulo;Religione_e_Magia
'Volto Santo', p.es. di Lucca (attribuito a Nicodemo);Religione_e_Magia
il ritratto di Cristo dipinto da San Luca;Religione_e_Magia
ex-voto della Emorroissa guarita;Religione_e_Magia
immagine di Cristo sul sudario (a figura intera), 'Sindone';Religione_e_Magia
(altri) 'ritratti' di Cristo, p.es. ritratto di profilo;Religione_e_Magia
tipologie particolari del Cristo adulto (senza altri personaggi);Religione_e_Magia
'Majestas Domini': Cristo nella mandorla seduto sull'arcobaleno o sulla sfera con il Tetramorfo;Religione_e_Magia
Cristo in trono;Religione_e_Magia
'Pantocrator', (busto di) Cristo, in atto di parlare o benedire, con in mano un libro;Religione_e_Magia
'Christus Rex';Religione_e_Magia
Cristo giudice (celeste);Religione_e_Magia
Cristo 'Logos', Verbo Incarnato;Religione_e_Magia
"'Salvator Mundi', in atto di benedire; ha il globo in mano o ai suoi piedi";Religione_e_Magia
Cristo ~ Eucaristia;Religione_e_Magia
Cristo con il calice e il pane o l'ostia;Religione_e_Magia
Cristo nel torchio, 'Christus in der Kelter' (Is. 63, 3);Religione_e_Magia
Cristo nel mulino mistico;Religione_e_Magia
'Fons Vitae', 'Fons Pietatis';Religione_e_Magia
Cristo in piedi sopra o vicino a una fontana, che versa il suo sangue;Religione_e_Magia
Cristo crocifisso (in una fontana), che versa il suo sangue;Religione_e_Magia
Cristo ~ attività umane;Religione_e_Magia
Cristo Buon Pastore;Religione_e_Magia
Cristo medico;Religione_e_Magia
Cristo farmacista;Religione_e_Magia
Cristo pescatore;Religione_e_Magia
Cristo venditore ambulante;Religione_e_Magia
Cristo agricoltore o giardiniere;Religione_e_Magia
Cristo oste;Religione_e_Magia
Cristo (sommo) sacerdote o profeta;Religione_e_Magia
Cristo pellegrino;Religione_e_Magia
'Feiertagschristus', Cristo con gli arnesi da artigiano;Religione_e_Magia
altre tipologie di Cristo adulto (senza altri personaggi);Religione_e_Magia
Cristo come donna;Religione_e_Magia
Cristo in atteggiamento orante;Religione_e_Magia
Cristo come angelo;Religione_e_Magia
Cristo ~ Orfeo;Religione_e_Magia
Cristo ~ Apollo (Helios);Religione_e_Magia
Cristo adulto insieme ad altri personaggi (in contesto non narrativo);Religione_e_Magia
Cristo adulto con Maria Vergine;Religione_e_Magia
Cristo adulto con Maria Vergine come sposo e sposa;Religione_e_Magia
Cristo adulto con angeli;Religione_e_Magia
Cristo adulto ~ diavolo e creature demoniache;Religione_e_Magia
Cristo trionfa sul/i demonio/i;Religione_e_Magia
Cristo adulto insieme agli apostoli, evangelisti, santi, ecc.;Religione_e_Magia
"Cristo con San Giovanni Evangelista; questi tiene il capo sul suo petto, 'Johannesminne', 'Christus-Johannes-Gruppe'";Religione_e_Magia
'Traditio legis', 'Dominus legem dat', ovvero Cristo consegna un cartiglio (la Legge) a San Paolo alla presenza di San Pietro;Religione_e_Magia
Cristo consegna il cartiglio (la Legge) a San Paolo alla presenza degli apostoli;Religione_e_Magia
Cristo con i peccatori penitenti (Adamo, David, il figliol prodigo, Santa Maria Maddalena, il buon ladrone, San Pietro, ecc.);Religione_e_Magia
Cristo adulto con figure di mortali;Religione_e_Magia
Cristo appare ai mortali;Religione_e_Magia
Cristo in trionfo, ovvero Cristo sul carro trionfale;Religione_e_Magia
Cristo a cavallo;Religione_e_Magia
Cristo a cavallo mentre guida un esercito di cavalieri, 'Militia Christi';Religione_e_Magia
Cristo adulto ~ concettualizzazioni;Religione_e_Magia
tipologie specifiche del Cristo crocifisso (non in contesto narrativo);Religione_e_Magia
Cristo sofferente (con la corona di spine, il capo generalmente reclinato da un lato, 'Christus patients');Religione_e_Magia
Cristo ricoperto di piaghe della peste, 'Pestkruzifixus';Religione_e_Magia
Cristo trionfante (con la corona di spine, il capo generalmente eretto, 'Christus triumphans');Religione_e_Magia
Cristo si stacca dalla croce per abbracciare qualcuno;Religione_e_Magia
Cristo crocifisso sull'albero o sulla vite;Religione_e_Magia
Cristo crocifisso sulla croce 'vivente';Religione_e_Magia
le Virtù ~ Cristo crocifisso;Religione_e_Magia
altre tipologie del Cristo crocifisso in contesto non narrativo;Religione_e_Magia
leggende e devozioni ~ Cristo;Religione_e_Magia
leggende ~ Cristo;Religione_e_Magia
la leggenda della Vera Croce;Religione_e_Magia
Seth pone un ramo dell'albero della Conoscenza sulla tomba di Adamo ~ leggenda della Vera Croce;Religione_e_Magia
"Seth alla ricerca del Paradiso; l'angelo gli consegna un ramoscello o una fiaschetta di olio ~ leggenda della Vera Croce";Religione_e_Magia
il legno viene usato per la costruzione del tempio di Salomone ~ leggenda della Vera Croce;Religione_e_Magia
il legno, utilizzato come ponte, è venerato dalla regina di Saba ~ leggenda della Vera Croce;Religione_e_Magia
il legno tolto dalla piscina di Bethesaida è utilizzato per la croce di Cristo ~ leggenda della Vera Croce;Religione_e_Magia
visione di Sant'Elena della Santa Croce portata dagli angeli ~ leggenda della Vera Croce;Religione_e_Magia
ritrovamento, invenzione della Vera Croce;Religione_e_Magia
Sant'Elena, madre di Costantinno, fa gettare Giuda, un Ebreo, nel pozzo ~ leggenda della Vera Croce;Religione_e_Magia
le tre croci vengono dissotterrare vicino al tempio di Venere ~ leggenda de la Vera Croce;Religione_e_Magia
Sant'Elena identifica la Vera Croce: un cadavere viene riportato alla vita al contatto della croce;Religione_e_Magia
Sant'Elena e Costantino si inginocchiano davanti (o stanno in piedi vicino) alla Vera Croce;Religione_e_Magia
erezione della Vera Croce, esaltazione della Santa Croce;Religione_e_Magia
l'Imperatore Eraclio sconfigge Cosroe II di Persia, e recupera una parte della Vera Croce;Religione_e_Magia
ingresso dell'imperatore Eraclio in Gerusalemme: come richiestogli da un angelo, l'imperatore, si spoglia dei suoi abiti regali e trasporta la Vera Croce in città;Religione_e_Magia
ingresso dell'imperatore Eraclio in Gerusalemme: l'imperatore cavalca un asino, o un cavallo ~ leggenda della Vera Croce;Religione_e_Magia
la Vera Croce viene eretta sul Golgota (o su un altare) ~ leggenda della Vera Croce;Religione_e_Magia
Cosroe II, avendo rifiutato il battesimo, viene giustiziato ~ leggenda della Vera Croce;Religione_e_Magia
la leggenda della Santa Lancia sanguinante;Religione_e_Magia
la leggenda del Santo Graal;Religione_e_Magia
la profezia di Basilide: sulla via di Gerusalemme, l'imperatore Tito consulta il Carmelitano Basilide, che gli indica la visione di Dio Padre con il Cristo morto;Religione_e_Magia
devozione ~ Cristo;Religione_e_Magia
le Sette Effusioni del sangue di Cristo;Religione_e_Magia
singole scene ~ le Sette Effusioni del sangue di Cristo;Religione_e_Magia
il Sacro Cuore;Religione_e_Magia
il Sacro Sangue;Religione_e_Magia
la Lacrima di Cristo;Religione_e_Magia
la Misura di Cristo;Religione_e_Magia
le reliquie ~ Cristo;Religione_e_Magia
le schegge della croce ~ reliquie di Cristo;Religione_e_Magia
i chiodi della croce ~ reliquie di Cristo;Religione_e_Magia
la Santa Lancia ~ reliquie di Cristo;Religione_e_Magia
la tunica di Cristo ~ reliquie di Cristo;Religione_e_Magia
Scala Santa, le scale del palazzo di Pilato ~ reliquie di Cristo;Religione_e_Magia
concetti mistici ~ Cristo;Religione_e_Magia
Cristo e l'Anima;Religione_e_Magia
l'Anima come sposa di Cristo;Religione_e_Magia
Cristo e il cuore umano;Religione_e_Magia
il sangue di Cristo che salva l'umanità;Religione_e_Magia
statue miracolose di Cristo o di Gesù Bambino;Religione_e_Magia
statue miracolose di Cristo o di Gesù Bambino (col NOME);Religione_e_Magia
l'Anticristo;Religione_e_Magia
scene della vita dell'Anticristo;Religione_e_Magia
Cristo adulto - DD - Cristo senza barba;Religione_e_Magia
'ritratti' di Cristo - DD - Cristo senza barba;Religione_e_Magia
'Mandylion', ovvero il ritratto che si dice sia stato realizzato per il re Abgar di Edessa da Cristo stesso asciugandosi il volto sul velo - DD - Cristo senza barba;Religione_e_Magia
