	object	description	subject	label
0	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd12271133@	Un uomo, con costume orientale, turbante e tipico passatempo di perle al braccio, è trasportato su un carretto sormontato da una tenda sollevata da un uomo che parla con il primo seduto. Un altro uomo, dipinto di schiena, tira il carretto. Una figura con mantello e cappuccio osserva la scena. Alle spalle, quattro uomini a gruppi di due conversano tra di loro, una quinta figura si intravede alle loro spalle con una cesta di forma piramidale sulla testa. Tutti sono vestiti con costumi di foggia orientale.. Figure maschili. Mezzi di trasporto: carretto. Oggetti: passatempo di perle; tenda	costumi orientali, Figure in costumi orientali	incoherent
1	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd11410529@	Tamburo a forma di clessidra in legno dipinto a base blu, decorato in rosso, verde, giallo e bianco su fasce parallele con motivi di girali fitomorfi. I due punti di percussione sono in pelle, connessi tra loro grazie ad un'imbracatura di cordoncini.. Elementi decorativi: tralci fitomorfi	Tralci fitomorfi	incoherent
2	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd11410410@	Il dipinto, nel formato del rotolo verticale da appendere (kakemono), è stato realizzato a inchiostro e colori su seta. Raffigura un scena con i Sette Dei della Fortuna, due dei quali (Hotei e Fukurokuju) ballano al centro della composizione, mentre gli altri assistono divertiti alla scena. Ha cornice tradizionale in seta decorata con motivo di tralci di crisantemi.. Divinità orientali: Sette Dei della Fortuna. Animali: gru. Animali: tartaruga. Animali: topo. Strumenti musicali: liuto. Strumenti musicali: percussione. Piante: pino. Fenomeni geologici: rocce. Oggetti: contenitori. Armi: alabarda	I sette dei della fortuna	coherent
3	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd2878097@	Il dipinto ha un'intonazione cromatica bruno-dorata dalla quale si distaccano le vesti della Vergine e di un Re Magio, a sinistra, intensamente lumeggiate di rosso.. Soggetti sacri: l'adorazione dei Re Magi	adorazione dei Re Magi	coherent
4	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd2878164@	Personaggi: la composizione s'impernia sulla figura di un Cristo dalle carni rosate cinto di un perizoma bianco; in vesti pure bianche indossate sotto mantelli di un vivacissimo giallo cangiante sono le due figure di schiena che chiudono lateralmente il dipinto. Interno: la scena s'immagina in un androne di cui l'ombra lascia appena intravedere l'architettura	incredulità di san Tommaso	coherent
5	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd2878105@	Il dipinto interpreta il classico tema del baccanale.. Soggetti profani: affollarsi di figure dalle carni rosate; particolarmente interessanti sono i due nudi di schiena ed il satiretto in primo piano	scena mitologica	coherent
6	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd2877999@	Si veda la sch. n. 00077896: In questo dipinto, come nei quattro affreschi successivi, sugli sfondi calcinosi spiccano coloriture vivide con effetto ancora miniaturistico. Caratteristici i volti dalla pupilla chiara.. Personaggi: San Girolamo	san Girolamo	coherent
7	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd2877794@	"Il dipinto ripropone la tradizionale formula iconografica, in termini volgarizzati, della ""Madonna Odigitria"".. Soggetti sacri: Madonna che offre in rigida regale frontalità il figlio all'adorazione dei fedeli"	madonna con bambino	coherent
8	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd3473035@	Il dipinto, centinato, raffigura in alto l'Eterno, a mezza figura, abraccia spalancate, emergente da una nuvola, affiancato da testine dicherubini. Nella parte inferiore del dipinto, la Sacra Famiglia; incorrispondenza del capo del divino fanciullo, in alto, la colomba delloSpirito Santo.	Sacra Famiglia	coherent
9	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd3546949@	Il dipinto raffigura la nascita del Bimbo nella terra di Bethlemme e i ricchi re Magi venuti ad adorarlo dal lontano oriente. Sullo sfondo avanza una turba di soldati e di pellegrini in cerca della Sacra Famiglia.. Personaggi: Madonna; Bambino. Figure: pastori; angeli	Adorazione dei Re Magi	coherent
10	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd3550471@	Il dipinto raffigura Giuseppe Garibaldi in camicia rossa col caratteristico cappello in testa e sulle spalle un mantello.. Personaggi: Giuseppe Garibaldi. Attributi: (Giuseppe Garibaldi) camicia rossa	ritratto d'uomo, Ritratto di Giuseppe Garibaldi	coherent
11	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd3442956@	Sulla tavola di foma circolare è dipinto uno stemma con cornice mistilinea su cui sono raffigurate due braccia incrociate delle quali una rivestita di un saio, e un crocifisso, simbolo ddell'unione mistica di san Francesco con Cristo. Intorno allo stemma sono dipinti a sinistra un tralcio di rose e a destra un tralcio di gigli. In alto è dipinta una corona.	Stemma Francescano	coherent
12	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd3458294@	Il vescovo Giambattista Comjno di Guardiagrele, in abito e tricorno scuro, porta una collana con croce di granate montata in oro. In alto a destra uno stemma gentilizio, due rose rosse ed una banda nera in campo beige, sormontato dal cappello cardinalizio. In basso, circondata da una decorazione vegetale, una scritta su fondo verde-azzurro. Il dipinto è privo di cornice propria.	P. D. Giambattista Comjno	incoherent
13	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd3867820@	Il dipinto raffigura la morte della Vergine tra il compianto degli Apostoli; nella parte superiore compaiono le scene dell'assunzione e dell'incoronazione della Vergine.. Personaggi: Madonna; Cristo; Dio Padre. Figure: apostoli; angeli	Transito della Madonna	coherent
14	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd8488181@	Si tratta di due frammenti ricomposti pertinenti ad un piattello; corpo ceramico aranciato. Ingobbiato, graffito a punta (petali nervati lungo il bordo), dipinto in giallo e verde, e invetriato. All'esterno rivestito solo fino appena sotto l'orlo.	MOTIVI DECORATIVI VEGETALI	incoherent
15	http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd11761025@	In un paesaggio con fiume a sinistra del dipinto, una struttura architettonica con diverse persone. Sullo sfondo paesaggio di montagna. In primo piano, fra alberi, cinque donne; una di loro salva il bambino Mosè dall'acqua. Sul fiume varie imbarcazioni. A tergo della tela e della cornice tre sigilli su cera rossa della famiglia Bufalini.. PAESAGGIO. ARCHITETTURE. PERSONAGGI: persone. SOGGETTI SACRI: Mosè. OGGETTI: imbarcazioni	Mosè salvato dalle acque; Il ritrovamento di Mosè	coherent
