object	description	subject	Length	Label	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	Unnamed: 15	Unnamed: 16	Unnamed: 17
http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd12271133@	Un uomo, con costume orientale, turbante e tipico passatempo di perle al braccio, è trasportato su un carretto sormontato da una tenda sollevata da un uomo che parla con il primo seduto. Un altro uomo, dipinto di schiena, tira il carretto. Una figura con mantello e cappuccio osserva la scena. Alle spalle, quattro uomini a gruppi di due conversano tra di loro, una quinta figura si intravede alle loro spalle con una cesta di forma piramidale sulla testa. Tutti sono vestiti con costumi di foggia orientale.. Figure maschili. Mezzi di trasporto: carretto. Oggetti: passatempo di perle; tenda	costumi orientali, Figure in costumi orientali	6	Incoherent													
http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd11410529@	Tamburo a forma di clessidra in legno dipinto a base blu, decorato in rosso, verde, giallo e bianco su fasce parallele con motivi di girali fitomorfi. I due punti di percussione sono in pelle, connessi tra loro grazie ad un'imbracatura di cordoncini.. Elementi decorativi: tralci fitomorfi	Tralci fitomorfi	2	Coherent											StopWords	Total	
http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd11410410@	Il dipinto, nel formato del rotolo verticale da appendere (kakemono), è stato realizzato a inchiostro e colori su seta. Raffigura un scena con i Sette Dei della Fortuna, due dei quali (Hotei e Fukurokuju) ballano al centro della composizione, mentre gli altri assistono divertiti alla scena. Ha cornice tradizionale in seta decorata con motivo di tralci di crisantemi.. Divinità orientali: Sette Dei della Fortuna. Animali: gru. Animali: tartaruga. Animali: topo. Strumenti musicali: liuto. Strumenti musicali: percussione. Piante: pino. Fenomeni geologici: rocce. Oggetti: contenitori. Armi: alabarda	I sette dei della fortuna	5	Coherent											Personaggi	Coherent	1877.0
http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd2878097@	Il dipinto ha un'intonazione cromatica bruno-dorata dalla quale si distaccano le vesti della Vergine e di un Re Magio, a sinistra, intensamente lumeggiate di rosso.. Soggetti sacri: l'adorazione dei Re Magi	adorazione dei Re Magi	4	Coherent											Soggetti	Incoherent	575.0
http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd2878164@	Personaggi: la composizione s'impernia sulla figura di un Cristo dalle carni rosate cinto di un perizoma bianco; in vesti pure bianche indossate sotto mantelli di un vivacissimo giallo cangiante sono le due figure di schiena che chiudono lateralmente il dipinto. Interno: la scena s'immagina in un androne di cui l'ombra lascia appena intravedere l'architettura	incredulità di san Tommaso	4	Coherent											Oggetti		
http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd2878105@	Il dipinto interpreta il classico tema del baccanale.. Soggetti profani: affollarsi di figure dalle carni rosate; particolarmente interessanti sono i due nudi di schiena ed il satiretto in primo piano	scena mitologica	2	Coherent											Figure		
http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd2877999@	Si veda la sch. n. 00077896: In questo dipinto, come nei quattro affreschi successivi, sugli sfondi calcinosi spiccano coloriture vivide con effetto ancora miniaturistico. Caratteristici i volti dalla pupilla chiara.. Personaggi: San Girolamo	san Girolamo	2	Coherent											Figura		
http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd2877794@	"Il dipinto ripropone la tradizionale formula iconografica, in termini volgarizzati, della ""Madonna Odigitria"".. Soggetti sacri: Madonna che offre in rigida regale frontalità il figlio all'adorazione dei fedeli"	madonna con bambino	3	Coherent													
http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd3473035@	Il dipinto, centinato, raffigura in alto l'Eterno, a mezza figura, abraccia spalancate, emergente da una nuvola, affiancato da testine dicherubini. Nella parte inferiore del dipinto, la Sacra Famiglia; incorrispondenza del capo del divino fanciullo, in alto, la colomba delloSpirito Santo.	Sacra Famiglia	2	Coherent													
http://dati.culturaitalia.it/resource/oai-oaicat-iccd-org-@iccd3550471@	Il dipinto raffigura Giuseppe Garibaldi in camicia rossa col caratteristico cappello in testa e sulle spalle un mantello.. Personaggi: Giuseppe Garibaldi. Attributi: (Giuseppe Garibaldi) camicia rossa	ritratto d'uomo, Ritratto di Giuseppe Garibaldi	6	Coherent													
